template_column,source,source_field,gcpj_with_data,gcpj_without_data,completeness_rate
CÓD. INTERNO,primary,GCPJ,0,9088,0.0
TIPO DE OPERAÇÃO/CARTEIRA,primary,CARTEIRA,709,8379,7.801496478873239
AGÊNCIA,primary,AGENCIA,709,8379,7.801496478873239
CONTA,primary,CONTA,709,8379,7.801496478873239
GESTOR,primary,GESTOR,745,8343,8.19762323943662
SEGMENTO DO CONTRATO,secondary,TIPO,0,9088,0.0
PROCESSO,juridico,N DO PROCESSO,7702,1386,84.74911971830986
PROCEDIMENTO,juridico,AÇÃO,7983,1105,87.84110915492957
NOME PARTE CONTRÁRIA PRINCIPAL,juridico,REU,8583,505,94.44322183098592
CPF/CNPJ,juridico,CPF/CNPJ REU,8027,1061,88.32526408450704
DEVEDOR SOLIDÁRIO 1,juridico,AVALISTA 1,604,8484,6.64612676056338
CPF 1,constant,,9088,0,100.0
DEVEDOR SOLIDÁRIO 2,juridico,AVALISTA 2,247,8841,2.717869718309859
CPF 2,juridico,CPF/CNPJ Avalista 2,247,8841,2.717869718309859
VARA,juridico,JUI.Descrição,4481,4607,49.30677816901409
COMARCA,juridico,JUI.Cidade,3730,5358,41.0431338028169
UF,juridico,JUI.Sigla,3750,5338,41.26320422535211
RESPONSÁVEL PROCESSO [ESCRITÓRIO],constant,MOYA E LARA,9088,0,100.0
ORGANIZAÇÃO CLIENTE,constant,BANCO BRADESCO S.A,9088,0,100.0
ESCRITÓRIO,constant,MOYA E LARA,9088,0,100.0
